,n,m,SSE,MAX
29,35,3,7687.064,5.519
30,35,5,3683.774,6.720
31,35,7,528.648,3.349
32,35,9,221.294,2.132
33,35,11,135.353,1.426
34,35,13,105.103,1.374
35,35,15,96.914,1.398
36,35,17,101.643,1.488
37,40,3,7680.529,5.517
38,40,5,3673.109,6.842
39,40,7,516.678,3.498
40,40,9,206.994,2.319
41,40,11,117.811,1.616
42,40,13,83.139,1.206
43,40,15,68.715,1.179
44,40,17,64.133,1.199
45,40,19,65.824,1.260
46,50,3,7674.804,5.514
47,50,5,3663.901,6.988
48,50,7,506.366,3.670
49,50,9,195.049,2.533
50,50,11,103.705,1.876
51,50,13,66.292,1.423
52,50,15,48.364,1.075
53,50,17,39.180,0.927
54,50,19,34.584,0.919
