,n,m,SSE,MAX
86,100,3,7670.656,5.509
87,100,5,3657.560,7.203
88,100,7,498.703,3.905
89,100,9,186.476,2.812
90,100,11,94.047,2.207
91,100,13,55.363,1.810
92,100,15,35.960,1.524
93,100,17,25.054,1.306
94,100,19,18.424,1.131
95,100,21,14.155,0.988
96,100,23,11.285,0.866
97,100,25,9.291,0.761
98,100,27,7.871,0.669
99,100,29,6.841,0.586
100,100,31,6.086,0.511
101,100,33,5.531,0.442
102,100,35,5.124,0.437
103,100,37,4.831,0.435
104,100,39,4.629,0.438
105,100,41,4.500,0.441
106,100,43,4.434,0.448
107,100,45,4.422,0.457
108,100,47,4.460,0.463
109,100,49,4.546,0.480
